rgc,contact with apical,decreases,migration speed,0,0.5,8,0
rgc,custom:time_alive,decreases,transform to ipc,0,60,8,0
ipc,intracellular transformation_inhibitor,increases,transform to rgc,0.3,0.001,8,0
ipc,intracellular type_6_diff_factor,increases,transform to layer_6,1,0.001,8,0
ipc,intracellular type_5_diff_factor,increases,transform to layer_5,1,0.001,8,0
ipc,intracellular type_4_diff_factor,increases,transform to layer_4,1,0.001,8,0
ipc,intracellular type_3_diff_factor,increases,transform to layer_3,1,0.001,8,0
ipc,intracellular type_2_diff_factor,increases,transform to layer_2,1,0.001,8,0
ipc,time,decreases,type_6_diff_factor uptake,0,4770.5,32,0
ipc,time,decreases,type_5_diff_factor uptake,0,5850.5,32,0
ipc,time,decreases,type_4_diff_factor uptake,0,8290.5,32,0
ipc,time,decreases,type_3_diff_factor uptake,0,9580.5,32,0
ipc,time,decreases,type_2_diff_factor uptake,0,11625.5,64,0
apical,time,increases,type_6_diff_factor secretion,1,1545.5,32,0
apical,time,increases,type_5_diff_factor secretion,1,4785.5,32,0
apical,time,increases,type_4_diff_factor secretion,1,5865.5,32,0
apical,time,increases,type_3_diff_factor secretion,1,8305.5,32,0
apical,time,increases,type_2_diff_factor secretion,1,9595.5,32,0
rgc,time,decreases,cycle entry,0.00085,6585.5,10,0
ipc,time,increases,apoptosis,1,11655.5,64,0
